xmltv_id,display_name,groups
MonroeCommunityMediaEducationChannel.us@SD,Monroe Community Media Education Channel,Education
MonroeCommunityMediaPublicAccessChannel.us@SD,Monroe Community Media Public Access Channel,General
MonroeCountyTV.us@SD,Monroe County TV,Legislative
MontgomeryChannel.us@SD,Montgomery Channel,General
Movies.us@KPVMLD,Movies! KPVM-LD,Movies
MovieSphereGold.us@WFXT,MovieSphere Gold WFXT,Movies
MrBeanAnimated.uk@English,Mr Bean Animated,Animation;Kids
MRVTVChannel44.us@SD,MRVTV Channel 44,General
MRVTVChannel45.us@SD,MRVTV Channel 45,General
MSG.us@SD,MSG,Sports
MSTV.us@SD,MSTV,Education
MTC.us@SD,MTC,Undefined
MTVSpankinNew.us@US,MTV Spankin' New,Music
